TIME_NANOSECONDS_TAI ,OMPS_Range_M[1] ,OMPS_Range_M[2] ,OMPS_Range_M[3] ,OMPS_Range_M[4] ,OMPS_DopplerSpeed_MpS[1] ,OMPS_DopplerSpeed_MpS[2] ,OMPS_DopplerSpeed_MpS[3] ,OMPS_DopplerSpeed_MpS[4]
1.60259621009107e+18,22.1875,20.4375,28.0625,21.75,-0.16015625,-1.29296875,0.34765625,1.1171875
1.60259621019107e+18,22.125,20.5625,28.125,21.875,-0.39453125,0.171875,0.3203125,-0.53125
1.60259621029107e+18,22.125,20.375,27.875,21.75,-0.1875,-0.2578125,0.5546875,0.453125
1.60259621039107e+18,22.125,20.5625,28.0625,21.75,0.55078125,0.234375,0.30078125,0.359375
1.60259621049107e+18,22.125,20.5625,28.125,21.625,0.62890625,1.08984375,0.33203125,0.234375
1.60259621059107e+18,22.125,20.625,28.0625,21.625,0.46875,-1.53125,0.40234375,0.765625
1.60259621069107e+18,22.1875,20.5625,27.9375,21.6875,-0.00390625,-0.24609375,0.49609375,0.05078125
1.60259621079107e+18,22.0625,20.5625,28.0625,21.75,0.046875,0.64453125,0.46484375,0.55078125
1.60259621089107e+18,22.125,20.625,28.125,21.75,0.21875,-0.7734375,0.38671875,-0.06640625
1.60259621099107e+18,22.0625,20.6875,28.125,21.6875,0.28515625,-0.62109375,0.31640625,0.34375
1.60259621109107e+18,21.375,20.5625,28.0625,21.6875,-0.203125,-1.01171875,0.51171875,0.078125
1.60259621119107e+18,21.375,20.625,28.0625,21.75,-0.203125,1.16796875,0.4296875,0.3984375
1.60259621129107e+18,21.375,20.625,28,21.8125,0.65625,1.29296875,0.57421875,-0.1875
1.60259621139107e+18,22.125,20.625,28.125,21.6875,0.00390625,-0.92578125,0.52734375,0.46875
1.60259621149107e+18,22.0625,20.4375,28.125,21.75,-0.015625,-0.4453125,0.34765625,0.6640625
1.60259621159107e+18,22.0625,20.625,28,21.6875,-0.015625,0.55078125,0.3984375,-0.40625
1.60259621169107e+18,22.125,20.625,28.0625,21.6875,0.9296875,0.359375,0.5703125,-0.515625
1.60259621179107e+18,22.125,20.5625,28.0625,21.8125,0.55078125,0.3125,0.5234375,-0.3203125
1.60259621189107e+18,22.125,20.625,28.1875,21.875,-0.04296875,0.265625,0.4453125,0.18359375
1.60259621199107e+18,22.125,20.5625,28.125,21.6875,0.109375,0.42578125,0.3984375,-0.203125
1.60259621209107e+18,22.125,20.625,28.0625,21.6875,0.8671875,1.44921875,0.5625,0.68359375
1.60259621219107e+18,22.125,20.625,27.9375,21.6875,0.01171875,-0.51171875,0.359375,0.53515625
1.60259621229107e+18,22.0625,20.4375,28.0625,21.6875,0.578125,0.73828125,0.265625,0.59765625
1.60259621239107e+18,22.125,20.625,28.0625,21.6875,0.57421875,-0.39453125,0.69921875,0.69140625
1.60259621249107e+18,22.125,20.5625,28.0625,21.75,0.171875,-0.58203125,0.5390625,0.49609375
1.60259621259107e+18,22.125,20.4375,27.875,21.6875,0.5078125,-0.41796875,0.55078125,-0.23046875
1.60259621269107e+18,22.0625,20.5625,28,21.75,-0.015625,-0.54296875,0.390625,0.57421875
1.60259621279107e+18,22.0625,20.4375,28.0625,21.6875,0.234375,0.72265625,0.5546875,0.21875
1.60259621289107e+18,22.125,20.4375,28.125,21.6875,0.0234375,-0.6484375,0.4609375,-0.203125
1.60259621299107e+18,22.0625,20.4375,28.0625,21.6875,1.25,0.265625,0.48046875,0.88671875
1.60259621309107e+18,22.0625,20.5625,28,21.75,0.64453125,-0.30078125,0.56640625,-0.1796875
1.60259621319107e+18,22.125,20.4375,28.125,21.6875,0.52734375,1.24609375,0.44140625,0.67578125
1.60259621329107e+18,22.125,20.4375,28.125,21.6875,0.765625,0.9296875,0.4296875,0.359375
1.60259621339107e+18,21.875,20.5625,28.125,21.75,0.6640625,0.1328125,0.49609375,-0.015625
1.60259621349107e+18,21.375,20.4375,28.125,21.75,1.26171875,-0.94140625,0.39453125,0.140625
1.60259621359107e+18,21.1875,20.5,28.125,21.75,0.1328125,-0.015625,0.453125,0.67578125
1.60259621369107e+18,21.25,20.5,28.0625,21.75,0.33203125,-0.7734375,0.49609375,0.89453125
1.60259621379107e+18,21,20.5625,27.9375,21.6875,-0.91796875,0.21875,0.64453125,0.64453125
1.60259621389107e+18,20.0625,20.5,28.0625,21.6875,-2.4765625,0.8828125,0.5625,0.58203125
1.60259621399107e+18,20.0625,20.5,27.9375,21.75,-44.6328125,-0.94921875,0.4296875,0.77734375
1.60259621409107e+18,20.125,20.5625,28.0625,21.6875,-44.29296875,-0.1875,0.6640625,0.01171875
1.60259621419107e+18,20.6875,20.5,28.0625,21.75,-44.48046875,-0.7734375,0.453125,0.05859375
1.60259621429107e+18,20.1875,20.4375,28.0625,21.6875,-0.39453125,0.83203125,0.42578125,0.61328125
1.60259621439107e+18,20.9375,20.5,28.0625,21.75,-4.2421875,0.61328125,0.4921875,0.4765625
1.60259621449107e+18,19.875,20.5625,28.0625,21.6875,-2.06640625,1.1171875,0.453125,0.328125
1.60259621459107e+18,19.3125,20.5625,27.9375,21.75,28.42578125,0.6953125,0.4375,0.5234375
1.60259621469107e+18,21.25,20.5,28.125,21.75,1.1171875,0.296875,0.640625,0.96484375
1.60259621479107e+18,21.0625,20.5,28.125,21.6875,-0.99609375,0.359375,0.55078125,0.453125
1.60259621489107e+18,20.9375,20.5625,27.9375,21.6875,1.16796875,0.265625,0.73046875,0.3984375
1.60259621499107e+18,20.875,20.4375,28.0625,21.6875,0.046875,0.171875,0.5625,0.44140625
1.60259621509107e+18,21.0625,20.4375,28.0625,21.75,0.9765625,0.9609375,0.71875,0.67578125
1.60259621519107e+18,21.125,20.5625,28,21.6875,0.9296875,1.703125,0.63671875,0.890625
1.60259621529107e+18,20.9375,20.4375,28.0625,21.5625,-0.9609375,0.51171875,0.4609375,0.73828125
1.60259621539107e+18,20.9375,20.5625,28.0625,21.6875,-43.34375,-0.5390625,0.3984375,0.7890625
1.60259621549107e+18,19.125,20.5,28.125,21.75,-0.7734375,1.265625,0.46875,-0.16015625
1.60259621559107e+18,21.125,20.4375,28.0625,21.6875,-44.97265625,1.04296875,0.5,0.359375
1.60259621569107e+18,19.6875,20.375,28,21.6875,0.41015625,-0.5546875,0.58203125,1.0234375
1.60259621579107e+18,20.875,20.5625,28,21.6875,0.83203125,0.88671875,0.55078125,1.1015625
1.60259621589107e+18,20.875,20.5625,28,21.6875,-1.65625,1.0546875,0.4140625,0.41015625
1.60259621599107e+18,21,20.5625,28.0625,21.6875,-0.015625,-0.08203125,0.3984375,0.171875
1.60259621609107e+18,21,20.5,28.0625,21.75,-44.1484375,0.0078125,0.6796875,0.390625
1.60259621619107e+18,21.0625,20.5,28.0625,21.75,-0.8359375,0.9296875,0.359375,0.9921875
1.60259621629107e+18,20.8125,20.5625,27.9375,21.6875,0.55078125,0.21875,0.48828125,0.39453125
1.60259621639107e+18,20.9375,20.4375,28.125,21.75,-45.23828125,0.53515625,0.4609375,0.359375
1.60259621649107e+18,20.875,20.5,28.0625,21.6875,-44.96484375,1.1015625,0.5390625,0.375
1.60259621659107e+18,20,20.5625,27.875,21.6875,-44.0078125,-0.046875,0.35546875,-0.17578125
1.60259621669107e+18,20,20.5625,27.9375,21.75,-44.796875,0.453125,0.53515625,0.38671875
1.60259621679107e+18,20.25,20.5625,27.875,21.6875,-45.046875,-0.14453125,0.3671875,0.57421875
1.60259621689107e+18,19,20.5625,27.9375,21.6875,-45.11328125,-0.06640625,0.48828125,0.359375
1.60259621699107e+18,19.625,20.4375,27.9375,21.75,-44.64453125,0.32421875,0.41796875,0.9296875
1.60259621709107e+18,19.4375,20.5625,28,21.75,-44.48046875,0.703125,0.453125,0.34765625
1.60259621719107e+18,20.1875,20.625,27.9375,21.75,-44.0078125,0.15234375,0.4453125,-0.37109375
1.60259621729107e+18,18.875,20.5625,28,21.6875,-44.44921875,1.2109375,0.5234375,0.62890625
1.60259621739107e+18,19.125,20.4375,27.875,21.6875,-44.1015625,-0.66015625,0.5078125,0.6640625
1.60259621749107e+18,17.5,20.4375,28.0625,21.6875,-44.859375,-0.109375,0.40234375,0.55078125
1.60259621759107e+18,18.25,20.5625,28.0625,21.6875,-45.2109375,0.64453125,0.359375,0.0390625
1.60259621769107e+18,17.625,20.5625,28.0625,21.6875,27.984375,0.91796875,0.296875,0.24609375
1.60259621779107e+18,17.8125,20.5625,28.1875,21.75,-44.29296875,-0.58203125,-0.15234375,-0.109375
